CAZy,11Lt.76,11Lt.300,11Lt.SR,11Lt.Canu,11Lt.PurgeHap,75Lt.76,75Lt.300,75Lt.SR,10Lt.76,10Lt.300,10Lt.SR,36Lt.76,36Lt.300,36Lt.SR,36Lt.Canu,36Lt.PurgeHap
GH79,0,4,3,8,8,0,2,4,0,3,2,0,0,0,0,0
GT90,0,2,4,9,8,0,3,4,0,4,3,0,0,0,0,0
AA3,0,4,6,8,9,0,4,5,0,2,3,0,0,0,0,0
GH105,0,5,5,7,7,0,4,3,0,3,5,0,1,1,1,1
GT2_Gt,0,3,4,7,7,0,6,7,0,4,5,0,0,0,0,0
GH18,0,2,2,9,9,0,5,6,0,4,7,0,0,0,0,0
GH13,0,5,5,8,8,0,5,6,0,2,4,0,1,1,1,1
AA1,0,3,3,14,14,0,4,5,0,0,3,1,1,1,1,0
GH16,0,5,5,12,12,0,3,4,0,4,5,1,1,1,1,0
GT2_Cs,0,5,5,13,13,0,5,8,0,5,4,0,0,0,0,0
GH5,1,0,2,17,18,0,6,12,0,4,6,0,0,0,0,0
GH47,0,9,10,11,11,0,7,6,0,2,8,0,2,2,3,3
CE10,0,7,9,20,22,0,3,6,0,6,9,0,1,1,2,2
