Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
11Lt.canu	1119	1119	1119	1118	1006	604	111691875	111691875	111691875	111682840	109239128	95292141	1119	917151	111691875	46.65	171948	79137	180	421	0.00
11Lt.sspace	886	886	886	885	797	521	112187514	112187514	112187514	112178479	110258743	100771368	886	1052964	112187514	46.65	240886	108187	133	304	441.88
11Lt.gapfiller	886	886	886	885	797	521	112192900	112192900	112192900	112183865	110264129	100776754	886	1052964	112192900	46.65	240886	108187	133	304	356.97
11Lt.pilon1	886	886	886	885	797	521	112185270	112185270	112185270	112176235	110256671	100766345	886	1052696	112185270	46.66	238466	108323	134	304	352.19
11Lt.pilon2	886	886	886	885	798	521	112180393	112180393	112180393	112171358	110277244	100762262	886	1052630	112180393	46.66	238469	108339	134	304	349.53
11Lt.pilon3	886	886	886	885	798	521	112181345	112181345	112181345	112172310	110277652	100762619	886	1052634	112181345	46.66	238470	108341	134	304	348.50
